ID,Name,Latex
-2224,Delta(1232)~,\overline{\Delta}(1232)^{--}
2226,Delta(1905),\Delta(1905)^{++}
-2226,Delta(1905)~,\overline{\Delta}(1905)^{--}
2228,Delta(1950),\Delta(1950)^{++}
-2228,Delta(1950)~,\overline{\Delta}(1950)^{--}
3101,(sd)(0),(sd)_{0}
-3101,(sd)(0)~,(sd)_{0}
3103,(sd)(1),(sd)_{1}
-3103,(sd)(1)~,(sd)_{1}
3112,Sigma,\Sigma^{-}
-3112,Sigma~,\overline{\Sigma}^{+}
3114,Sigma(1385),\Sigma(1385)^{-}
-3114,Sigma(1385)~,\overline{\Sigma}(1385)^{+}
3116,Sigma(1775),\Sigma(1775)^{-}
-3116,Sigma(1775)~,\overline{\Sigma}(1775)^{+}
3118,Sigma(2030),\Sigma(2030)^{-}
-3118,Sigma(2030)~,\overline{\Sigma}(2030)^{+}
3122,Lambda,\Lambda
-3122,Lambda~,\overline{\Lambda}
3124,Lambda(1520),\Lambda(1520)
-3124,Lambda(1520)~,\overline{\Lambda}(1520)
3126,Lambda(1820),\Lambda(1820)
-3126,Lambda(1820)~,\overline{\Lambda}(1820)
3128,Lambda(2100),\Lambda(2100)
-3128,Lambda(2100)~,\overline{\Lambda}(2100)
3201,(su)(0),(su)_{0}
-3201,(su)(0)~,(su)_{0}
3203,(su)(1),(su)_{1}
-3203,(su)(1)~,(su)_{1}
3212,Sigma,\Sigma^{0}
-3212,Sigma~,\overline{\Sigma}^{0}
3214,Sigma(1385),\Sigma(1385)^{0}
-3214,Sigma(1385)~,\overline{\Sigma}(1385)^{0}
3216,Sigma(1775),\Sigma(1775)^{0}
-3216,Sigma(1775)~,\overline{\Sigma}(1775)^{0}
3218,Sigma(2030),\Sigma(2030)^{0}
-3218,Sigma(2030)~,\overline{\Sigma}(2030)^{0}
3222,Sigma,\Sigma^{+}
-3222,Sigma~,\overline{\Sigma}^{-}
3224,Sigma(1385),\Sigma(1385)^{+}
-3224,Sigma(1385)~,\overline{\Sigma}(1385)^{-}
3226,Sigma(1775),\Sigma(1775)^{+}
-3226,Sigma(1775)~,\overline{\Sigma}(1775)^{-}
3228,Sigma(2030),\Sigma(2030)^{+}
-3228,Sigma(2030)~,\overline{\Sigma}(2030)^{-}
3303,(ss)(1),(ss)_{1}
-3303,(ss)(1)~,(ss)_{1}
3312,Xi,\Xi^{-}
-3312,Xi~,\overline{\Xi}^{+}
3314,Xi(1530),\Xi(1530)^{-}
-3314,Xi(1530)~,\overline{\Xi}(1530)^{+}
3322,Xi,\Xi^{0}
-3322,Xi~,\overline{\Xi}^{0}
3324,Xi(1530),\Xi(1530)^{0}
-3324,Xi(1530)~,\overline{\Xi}(1530)^{0}
3334,Omega,\Omega^{-}
-3334,Omega~,\overline{\Omega}^{+}
4101,(cd)(0),(cd)_{0}
-4101,(cd)(0)~,(cd)_{0}
4103,(cd)(1),(cd)_{1}
-4103,(cd)(1)~,(cd)_{1}
4112,Sigma(c)(2455),\Sigma_{c}^{0}
-4112,Sigma(c)(2455)~,\overline{\Sigma}_{c}^{0}
4114,Sigma(c)(2520),\Sigma_{c}(2520)^{0}
-4114,Sigma(c)(2520)~,\overline{\Sigma}_{c}(2520)^{0}
4122,Lambda(c),\Lambda_{c}^{+}
-4122,Lambda(c)~,\overline{\Lambda}_{c}^{-}
4132,Xi(c),\Xi_{c}^{0}
-4132,Xi(c)~,\overline{\Xi}_{c}^{0}
4201,(cu)(0),(cu)_{0}
-4201,(cu)(0)~,(cu)_{0}
4203,(cu)(1),(cu)_{1}
-4203,(cu)(1)~,(cu)_{1}
