ID,Name,Latex
12116,N(1680),N(1680)^{0}
-12116,N(1680)~,\overline{N}(1680)^{0}
12122,Delta(1900),\Delta(1900)^{+}
-12122,Delta(1900)~,\overline{\Delta}(1900)^{-}
12126,Delta(1930),\Delta(1930)^{+}
-12126,Delta(1930)~,\overline{\Delta}(1930)^{-}
12212,N(1440),N(1440)^{+}
-12212,N(1440)~,\overline{N}(1440)^{-}
12214,Delta(1700),\Delta(1700)^{+}
-12214,Delta(1700)~,\overline{\Delta}(1700)^{-}
12216,N(1680),N(1680)^{+}
-12216,N(1680)~,\overline{N}(1680)^{-}
12222,Delta(1900),\Delta(1900)^{++}
-12222,Delta(1900)~,\overline{\Delta}(1900)^{--}
12224,Delta(1700),\Delta(1700)^{++}
-12224,Delta(1700)~,\overline{\Delta}(1700)^{--}
12226,Delta(1930),\Delta(1930)^{++}
-12226,Delta(1930)~,\overline{\Delta}(1930)^{--}
13112,Sigma(1660),\Sigma(1660)^{-}
-13112,Sigma(1660)~,\overline{\Sigma}(1660)^{+}
13114,Sigma(1670),\Sigma(1670)^{-}
-13114,Sigma(1670)~,\overline{\Sigma}(1670)^{+}
13116,Sigma(1915),\Sigma(1915)^{-}
-13116,Sigma(1915)~,\overline{\Sigma}(1915)^{+}
13122,Lambda(1405),\Lambda(1404)
-13122,Lambda(1405)~,\overline{\Lambda}(1404)
13124,Lambda(1690),\Lambda(1690)
-13124,Lambda(1690)~,\overline{\Lambda}(1690)
13126,Lambda(1830),\Lambda(1830)
-13126,Lambda(1830)~,\overline{\Lambda}(1830)
13212,Sigma(1660),\Sigma(1660)^{0}
-13212,Sigma(1660)~,\overline{\Sigma}(1660)^{0}
13214,Sigma(1670),\Sigma(1670)^{0}
-13214,Sigma(1670)~,\overline{\Sigma}(1670)^{0}
13216,Sigma(1915),\Sigma(1915)^{0}
-13216,Sigma(1915)~,\overline{\Sigma}(1915)^{0}
13222,Sigma(1660),\Sigma(1660)^{+}
-13222,Sigma(1660)~,\overline{\Sigma}(1660)^{-}
13224,Sigma(1670),\Sigma(1670)^{+}
-13224,Sigma(1670)~,\overline{\Sigma}(1670)^{-}
13226,Sigma(1915),\Sigma(1915)^{+}
-13226,Sigma(1915)~,\overline{\Sigma}(1915)^{-}
13314,Xi(1820),\Xi(1820)^{-}
-13314,Xi(1820)~,\overline{\Xi}(1820)^{+}
13324,Xi(1820),\Xi(1820)^{0}
-13324,Xi(1820)~,\overline{\Xi}(1820)^{0}
14122,Lambda(c)(2595),\Lambda_{c}(2593)^{+}
-14122,Lambda(c)(2595)~,\overline{\Lambda}_{c}(2593)^{-}
20113,a(1)(1260),a_{1}(1260)^{0}
20213,a(1)(1260),a_{1}(1260)^{+}
-20213,a(1)(1260)~,a_{1}(1260)^{-}
20223,f(1)(1285),f_{1}(1285)
20313,K(1)(1400),K_{1}(1400)^{0}
-20313,K(1)(1400)~,\overline{K}_{1}(1400)^{0}
20315,K(2)(1820),K_{2}(1820)^{0}
-20315,K(2)(1820)~,\overline{K}_{2}(1820)^{0}
20323,K(1)(1400),K_{1}(1400)^{+}
-20323,K(1)(1400)~,K_{1}(1400)^{-}
20325,K(2)(1820),K_{2}(1820)^{+}
-20325,K(2)(1820)~,K_{2}(1820)^{-}
20333,f(1)(1420),f_{1}(1420)
20423,D(1)(2430),D_{1}(2430)^{0}
-20423,D(1)(2430)~,\overline{D}_{1}(2430)^{0}
20433,D(s1)(2460),D_{s1}(2460)^{+}
-20433,D(s1)(2460)~,D_{s1}(2460)^{-}
20443,chi(c1)(1P),\chi_{c1}(1P)
